STORE_ID,STORE_NAME,REGION,CITY,STATE,COUNTRY,OPEN_DATE,STATUS,SRC_FILE_NAME,LOAD_TS
S100000,Store_0,WEST,City_485,TN,India,2021-02-21,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259779
S100001,Store_1,WEST,City_233,AP,India,2018-12-08,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259791
S100002,Store_2,NORTH,City_160,MH,India,2024-04-20,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259796
S100003,Store_3,NORTH,City_256,TN,India,,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259800
S100004,Store_4,NORTH,City_346,DL,India,2017-05-06,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259808
S100005,Store_5,SOUTH,City_205,GJ,India,2023-07-06,OPEN,stores_20260101.csv,2026-02-03 17:20:19.259813
S100006,Store_6,WEST,City_235,GJ,India,2019-09-15,OPEN,stores_20260101.csv,2026-02-03 17:20:19.259817
S100007,Store_7,EAST,City_105,AP,India,2016-06-19,OPEN,stores_20260101.csv,2026-02-03 17:20:19.259824
S100008,Store_8,SOUTH,City_359,DL,India,2016-11-29,OPEN,stores_20260101.csv,2026-02-03 17:20:19.259829
S100009,Store_9,WEST,City_381,DL,India,2015-07-25,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259833
S100010,Store_10,SOUTH,City_91,RJ,India,2022-06-22,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259837
S100011,Store_11,SOUTH,City_189,TN,India,2023-06-01,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259841
S100012,Store_12,NORTH,City_250,DL,India,,OPEN,stores_20260101.csv,2026-02-03 17:20:19.259844
S100013,Store_13,NORTH,City_70,GJ,India,2022-07-22,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259848
S100014,Store_14,NORTH,City_285,MH,India,,CLOSED,stores_20260101.csv,2026-02-03 17:20:19.259851
